model,parameter,mean,lower,upper
seedling_survival,(Intercept),-2.597,-3.68,-1.376
seedling_survival,size,4.744,2.807,6.357
seedling_survival,min_temp_july,-0.362,-0.603,-0.101
seedling_survival,mean_annual_precip,0.188,0.014,0.363
adult_survival,(Intercept),3.406,2.782,4.01
adult_survival,size,-0.695,-0.889,-0.491
adult_survival,min_temp_july,0.154,-0.034,0.327
adult_survival,mean_annual_precip,0.608,0.414,0.846
growth,(Intercept),0.182,0.167,0.198
growth,quad(prop_fertile)_raw,-0.03,-0.051,-0.013
growth,quad(prop_fertile)_squared,0.056,0.018,0.085
growth,quad(winter_smd)_raw,0.036,0.015,0.053
growth,quad(winter_smd)_squared,-0.015,-0.024,-0.005
growth,quad(prop_acidic)_raw,-0.002,-0.009,0.007
growth,quad(prop_acidic)_squared,-0.035,-0.051,-0.019
growth,min_temp_july,0.018,0.011,0.026
growth,quad(summer_smd)_raw,-0.003,-0.012,0.006
growth,quad(summer_smd)_squared,-0.03,-0.037,-0.022
flowering,(Intercept),-2.629,-3.755,-1.503
flowering,size,3.627,2.583,4.584
seedheads,(Intercept),1.495,1.211,1.824
seedheads,size,0.622,0.466,0.788
seedheads,min_temp_july,-0.272,-0.401,-0.156
seedheads,quad(prop_acidic)_raw,0.347,0.163,0.54
seedheads,quad(prop_acidic)_squared,-0.428,-0.652,-0.236
seeds,(Intercept),4.156,4.075,4.241
germination,(Intercept),0.01,0.009,0.012
offspring_size,(Intercept),0.163,0.137,0.193
offspring_size,prop_acidic,-0.02,-0.035,-0.002
offspring_size,quad(prop_fertile)_raw,-0.054,-0.091,-0.019
offspring_size,quad(prop_fertile)_squared,0.065,0.012,0.117
offspring_size,min_temp_july,0.041,0.024,0.056
offspring_size,quad(summer_smd)_raw,-0.001,-0.012,0.011
offspring_size,quad(summer_smd)_squared,-0.035,-0.051,-0.02
